"id", "quoted_status_id"
"647146437667627008", "647118187541037056"
"647146486254448640", "647119604628746240"
"647146704517644288", "647117575210561536"
"647146829818265605", "646965130144673792"
"647146911598792704", "647146108834160640"
"647146912697712641", "647146405312790528"
"647147023209246720", "647140638169931777"
"647147325996072961", "647143511914074112"
"647147549841690624", "647141842262339584"
"647147742272323585", "647126333651296256"
"647148136058744832", "647122321262682112"
"647148144082464768", "645935071673905152"
"647148382759321603", "647143867280715776"
"647148590327013376", "647147736744206336"
"647148600959598592", "647140638169931777"
"647148620018524161", "647006486690988032"
"647149405695406080", "647148607733432320"
"647149594212728833", "647144613980057600"
"647149594703478784", "646376224546095104"
"647149619957379072", "647115834175852544"
"647149625531596800", "647144253978636289"
"647149789210148869", "647119604628746240"
"647149888606707716", "647119604628746240"
"647149912090628096", "647092567113383936"
"647150144027279360", "647139274958209024"
"647150227124789249", "647119604628746240"
"647150346863816704", "646820723789570049"
"647150629664747520", "647073844067475456"
"647151022373273600", "647126333651296256"
"647151070817464320", "647147736744206336"
"647151236630880256", "647144613980057600"
"647151263164035072", "647139274958209024"
"647151604001542144", "647135101806084098"
"647151798374035460", "647151631251996673"
"647151860718129152", "647093528804335616"
"647152386201550848", "647149405695406080"
"647152790792466433", "647151309213302785"
"647153371107983360", "646336946487357441"
"647153462220877825", "646751426388094976"
"647153612741865472", "647119604628746240"
"647153674440065024", "646697468059623424"
"647153957689757696", "647152350231162880"
"647154091563552768", "647112163581128704"
"647154093543325696", "647133425166585856"
"647154162552193024", "647119604628746240"
"647154240528470016", "647101247837863936"
"647154446846267392", "647116295817797633"
